Recipient Name,Award Amount
"WESTAT, INC.",3957628.0
KAISER FOUNDATION HOSPITALS,3692716.0
MATHEMATICA INC.,3319427.0
NATIONAL OPINION RESEARCH CENTER,2470411.0
RESEARCH TRIANGLE INSTITUTE,2085250.0
"MOST INVESTMENTS, LLC",1999781.0
THE JOHNS HOPKINS UNIVERSITY,90000.0
MAYO CLINIC,90000.0
BROWN UNIVERSITY,90000.0
EMERGENCY CARE RESEARCH INSTITUTE,90000.0
"UNIVERSITY OF KANSAS MEDICAL CENTER RESEARCH INSTITUTE, INC.",90000.0
THE RAND CORPORATION,90000.0
REGENTS OF THE UNIVERSITY OF MINNESOTA,90000.0
OREGON HEALTH & SCIENCE UNIVERSITY,90000.0
UNIVERSITY OF SOUTHERN CALIFORNIA,90000.0
AFYA INC,64095.09
ARILLIC LLC,0.0
ATT MOBILITY LLC,0.0
