Recipient Name,Award Amount,Careers Search
"WESTAT, INC.",27437350.0,https://www.google.com/search?q=WESTAT%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
RESEARCH TRIANGLE INSTITUTE,12208361.53,https://www.google.com/search?q=RESEARCH%20TRIANGLE%20INSTITUTE%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
KAISER FOUNDATION HOSPITALS,3602716.0,https://www.google.com/search?q=KAISER%20FOUNDATION%20HOSPITALS%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
NATIONAL OPINION RESEARCH CENTER,2470411.0,https://www.google.com/search?q=NATIONAL%20OPINION%20RESEARCH%20CENTER%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"MOST INVESTMENTS, LLC",2404412.81,https://www.google.com/search?q=MOST%20INVESTMENTS%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
BROWN UNIVERSITY,90000.0,https://www.google.com/search?q=BROWN%20UNIVERSITY%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
MAYO CLINIC,90000.0,https://www.google.com/search?q=MAYO%20CLINIC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
THE RAND CORPORATION,90000.0,https://www.google.com/search?q=THE%20RAND%20CORPORATION%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"UNIVERSITY OF KANSAS MEDICAL CENTER RESEARCH INSTITUTE, INC.",90000.0,https://www.google.com/search?q=UNIVERSITY%20OF%20KANSAS%20MEDICAL%20CENTER%20RESEARCH%20INSTITUTE%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
THE JOHNS HOPKINS UNIVERSITY,90000.0,https://www.google.com/search?q=THE%20JOHNS%20HOPKINS%20UNIVERSITY%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
REGENTS OF THE UNIVERSITY OF MINNESOTA,90000.0,https://www.google.com/search?q=REGENTS%20OF%20THE%20UNIVERSITY%20OF%20MINNESOTA%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"UNIVERSITY OF MARYLAND, COLLEGE PARK",57680.0,https://www.google.com/search?q=UNIVERSITY%20OF%20MARYLAND%2C%20COLLEGE%20PARK%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"UPTODATE, INC",51316.0,https://www.google.com/search?q=UPTODATE%2C%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
ARILLIC LLC,0.0,https://www.google.com/search?q=ARILLIC%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
ATT MOBILITY LLC,0.0,https://www.google.com/search?q=ATT%20MOBILITY%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
